lemma,ehme_n,ehme_freq,ehme_log,pos,nwords,lemmalength
ganglio,1,0.04,0.02,ize,1,7
gangor,1,0.04,0.02,ize,1,6
gangoso,1,0.04,0.02,adj,1,7
gangrena,8,0.35,0.13,ize,3,8
gangrenatu,6,0.26,0.1,adi,5,10
gangster,29,1.28,0.36,ize,7,8
gangsterismo,1,0.04,0.02,ize,1,12
ganibet,98,4.31,0.73,ize,12,7
ganibeta,45,1.98,0.47,ize,2,8
ganibetazoka,1,0.04,0.02,ize,1,12
ganita,2,0.09,0.04,ize,2,6
gano,4,0.18,0.07,ize,3,4
ganora,75,3.3,0.63,ize,3,6
ganorabako,41,1.8,0.45,adj,10,10
ganorabakokeria,2,0.09,0.04,ize,1,15
ganoradun,1,0.04,0.02,adj,1,9
ganoragabe,14,0.62,0.21,adj,4,10
ganoragabekeria,3,0.13,0.05,ize,2,15
ganoragabeko,2,0.09,0.04,adj,1,12
ganorako,2,0.09,0.04,adj,1,8
ganoratsu,2,0.09,0.04,adj,2,9
ganoraz,127,5.59,0.82,adb,1,7
ganorazko,125,5.5,0.81,adj,7,9
ganoso,1,0.04,0.02,adj,1,6
ganster,1,0.04,0.02,ize,1,7
gantxigor,5,0.22,0.09,ize,3,9
gantxillo,3,0.13,0.05,ize,2,9
gantxito,2,0.09,0.04,ize,1,8
gantxo,88,3.87,0.69,ize,11,6
gantz,227,9.99,1.04,ize,19,5
gantza,85,3.74,0.68,ize,2,6
gantzadun,2,0.09,0.04,adj,2,9
gantzaki,1,0.04,0.02,ize,1,8
gantzatsu,16,0.7,0.23,adj,7,9
gantzatu,2,0.09,0.04,adi,2,8
gantzo,1,0.04,0.02,ize,1,6
gantzontzilo,2,0.09,0.04,ize,1,12
gantzu,18,0.79,0.25,ize,4,6
gantzudura,6,0.26,0.1,ize,2,10
gantzugailu,1,0.04,0.02,ize,1,11
gantzukeria,1,0.04,0.02,ize,1,11
gantzuketa,28,1.23,0.35,ize,5,10
gantzuki,1,0.04,0.02,ize,1,8
gantzundura,1,0.04,0.02,ize,1,11
gantzutsu,1,0.04,0.02,adj,1,9
gantzutu,150,6.6,0.88,adi,20,8
gantzutzaile,1,0.04,0.02,ize,1,12
gap,42,1.85,0.45,ize,1,3
gapelu,13,0.57,0.2,ize,5,6
gapeludun,1,0.04,0.02,adj,1,9
gapirio,35,1.54,0.4,ize,6,7
gar,1278,56.25,1.76,ize,49,3
gara,18,0.79,0.25,adj,5,4
garabato,2,0.09,0.04,ize,1,8
garabi,416,18.31,1.29,ize,25,6
garabide,19,0.84,0.26,ize,6,8
garabilari,16,0.7,0.23,ize,4,10
garabizale,12,0.53,0.18,adj,4,10
garadi,2,0.09,0.04,ize,2,6
garaezin,2,0.09,0.04,adj,2,8
garagailu,1,0.04,0.02,ize,1,9
garagar,137,6.03,0.85,ize,13,7
garagarburu,16,0.7,0.23,ize,2,11
garagardo,978,43.05,1.64,ize,28,9
garagardogile,4,0.18,0.07,ize,3,13
garagardotegi,69,3.04,0.61,ize,10,13
garagardozale,2,0.09,0.04,adj,1,13
garagarjotze,1,0.04,0.02,ize,1,12
garagarno,24,1.06,0.31,ize,7,9
garagarril,27,1.19,0.34,ize,8,10
garagartu,1,0.04,0.02,adi,1,9
garagarzaro,2,0.09,0.04,ize,2,11
garage,8,0.35,0.13,ize,2,6
garagista,1,0.04,0.02,adj,1,9
garai,15121,665.55,2.82,ize,103,5
garaiarazi,1,0.04,0.02,adi,1,10
garaidun,2,0.09,0.04,adj,1,8
garaiera,273,12.02,1.11,ize,17,8
garaiezin,77,3.39,0.64,adj,7,9
garaiezintasun,1,0.04,0.02,ize,1,14
garaika,1,0.04,0.02,adb,1,7
garaikarrean,2,0.09,0.04,adb,1,12
garaikide,927,40.8,1.62,adj,42,9
garaikidetasun,10,0.44,0.16,ize,6,14
garaikidetsu,1,0.04,0.02,adj,1,12
garaikidetu,1,0.04,0.02,adi,1,11
garaiko,1264,55.64,1.75,ize,3,7
garaikunde,2,0.09,0.04,ize,2,10
garaikur,113,4.97,0.78,ize,10,8
garaile,1465,64.48,1.82,adj,27,7
garaino,2,0.09,0.04,adj,2,7
garaio,3,0.13,0.05,ize,1,6
garaipe,2,0.09,0.04,ize,1,7
garaipen,5251,231.12,2.37,ize,35,8
garaita,43,1.89,0.46,ize,5,7
garaitaldi,8,0.35,0.13,ize,3,10
garaitar,2,0.09,0.04,adj,2,8
garaitasun,3,0.13,0.05,ize,3,10
garaitezin,24,1.06,0.31,adj,8,10
garaitezintasun,6,0.26,0.1,ize,4,15
garaitia,16,0.7,0.23,ize,6,8
garaitiko,5,0.22,0.09,adj,4,9
garaitsu,82,3.61,0.66,adj,7,8
garaitu,993,43.71,1.65,adi,30,7
garaituezin,1,0.04,0.02,adj,1,11
garaitza,98,4.31,0.73,ize,9,8
garaitzaile,3,0.13,0.05,adj,2,11
garaitzale,1,0.04,0.02,ize,1,10
garaitzapen,15,0.66,0.22,ize,6,11
garaiz,591,26.01,1.43,adb,2,6
garaiza,3,0.13,0.05,ize,2,7
garaja,8,0.35,0.13,ize,4,6
garaje,257,11.31,1.09,ize,22,6
garakuntza,1,0.04,0.02,ize,1,10
garaldi,1,0.04,0.02,ize,1,7
garamante,4,0.18,0.07,ize,3,9
garandu,1,0.04,0.02,adi,1,7
garandutu,1,0.04,0.02,adi,1,9
garangorri,2,0.09,0.04,ize,2,10
garantia,52,2.29,0.52,ize,7,8
garantista,1,0.04,0.02,adj,1,10
garantitu,1,0.04,0.02,adi,1,9
garantizatu,2,0.09,0.04,adi,2,11
garantzi,11,0.48,0.17,ize,6,8
garapen,2903,127.78,2.11,ize,26,7
garapena,669,29.45,1.48,ize,2,8
garapenbide,7,0.31,0.12,ize,2,11
garapide,4,0.18,0.07,ize,3,8
gararazi,9,0.4,0.15,adi,5,8
garasa,1,0.04,0.02,ize,1,6
garastarro,1,0.04,0.02,ize,1,10
garastatu,1,0.04,0.02,adi,1,9
garatar,4,0.18,0.07,adj,3,7
garatu,3249,143.01,2.16,adi,58,6
garatugabe,2,0.09,0.04,adj,2,10
garatxo,29,1.28,0.36,ize,9,7
garatxodun,1,0.04,0.02,adj,1,10
garatz,1,0.04,0.02,ize,1,6
garatzaile,4,0.18,0.07,adj,3,10
garau,27,1.19,0.34,ize,8,5
garaun,2,0.09,0.04,ize,2,6
garautegi,2,0.09,0.04,ize,1,9
garautsua,1,0.04,0.02,adj,1,9
garazia,601,26.45,1.44,ize,6,7
garaziatsu,2,0.09,0.04,adj,2,10
garazitar,1,0.04,0.02,adj,1,9
garaztar,332,14.61,1.19,adj,11,8
garaztatu,7,0.31,0.12,adi,4,9
garaño,19,0.84,0.26,adj,7,6
garba,2,0.09,0.04,ize,1,5
garbai,3,0.13,0.05,ize,2,6
garbal,1,0.04,0.02,adj,1,6
garbaldu,3,0.13,0.05,adi,3,8
garbaltasun,1,0.04,0.02,ize,1,11
garbantzu,36,1.58,0.41,ize,7,9
garbari,3,0.13,0.05,ize,3,7
garbatu,3,0.13,0.05,adi,2,7
garbi,9293,409.03,2.61,adj,76,5
garbialdi,14,0.62,0.21,ize,4,9
garbiantz,1,0.04,0.02,ize,1,9
garbiarazi,8,0.35,0.13,adi,2,10
garbiez,3,0.13,0.05,adj,2,7
garbigai,1,0.04,0.02,ize,1,8
garbigailu,91,4.01,0.7,ize,17,10
garbigarri,19,0.84,0.26,adj,5,10
garbigela,8,0.35,0.13,ize,5,9
garbigune,6,0.26,0.1,ize,4,9
garbijale,1,0.04,0.02,ize,1,9
garbikari,16,0.7,0.23,ize,6,9
garbikeria,1,0.04,0.02,ize,1,10
garbiketa,538,23.68,1.39,ize,16,9
garbiketaldi,1,0.04,0.02,ize,1,12
garbiketari,10,0.44,0.16,ize,2,11
garbiki,305,13.42,1.16,adb,3,7
garbikin,1,0.04,0.02,ize,1,8
garbikoi,1,0.04,0.02,adj,1,8
garbikuntza,152,6.69,0.89,ize,10,11
garbileku,5,0.22,0.09,ize,5,9
garbimin,1,0.04,0.02,adj,1,8
garbiontzi,2,0.09,0.04,ize,1,10
garbiro,33,1.45,0.39,adb,1,7
garbitasun,421,18.53,1.29,ize,17,10
garbitasunzale,1,0.04,0.02,adj,1,14
garbitegi,36,1.58,0.41,ize,10,9
garbitoki,21,0.92,0.28,ize,8,9
garbitsun,1,0.04,0.02,adj,1,9
garbitu,3647,160.52,2.21,adi,49,7
garbitualdi,1,0.04,0.02,ize,1,11
garbitzaile,440,19.37,1.31,adj,24,11
garbitzale,2,0.09,0.04,ize,2,10
garbiune,1,0.04,0.02,ize,1,8
garbizale,33,1.45,0.39,adj,11,9
garbizalekeria,9,0.4,0.15,ize,5,14
garbizaletasun,8,0.35,0.13,ize,5,14
garbiñezale,1,0.04,0.02,adj,1,11
garbo,14,0.62,0.21,ize,3,5
garboso,6,0.26,0.1,adj,2,7
garbots,3,0.13,0.05,ize,2,7
garciatar,2,0.09,0.04,adj,2,9
garden,759,33.41,1.54,adj,39,6
gardenagotu,2,0.09,0.04,adi,1,11
gardendu,3,0.13,0.05,adi,3,8
gardenia,9,0.4,0.15,ize,3,8
gardenki,23,1.01,0.3,adb,3,8
gardentasun,290,12.76,1.14,ize,13,11
gardentsu,1,0.04,0.02,adj,1,9
gardi,3,0.13,0.05,ize,2,5
gardinga,3,0.13,0.05,adj,1,8
gardostu,3,0.13,0.05,adi,3,8
gardu,10,0.44,0.16,ize,5,5
gardulatz,1,0.04,0.02,ize,1,9
gare,101,4.45,0.74,ize,2,4
garestar,4,0.18,0.07,adj,3,8
garesti,1379,60.7,1.79,adj,57,7
garestiagotu,1,0.04,0.02,adi,1,12
garestialdi,1,0.04,0.02,ize,1,11
garestitu,305,13.42,1.16,adi,7,9
garestitze,241,10.61,1.06,adi,13,10
garestitzealdi,1,0.04,0.02,ize,1,14
garezur,51,2.24,0.51,ize,10,7
gargailaka,1,0.04,0.02,adb,1,10
gargailan,1,0.04,0.02,adb,1,9
gargailu,1,0.04,0.02,ize,1,8
gargantua,11,0.48,0.17,ize,1,9
gargantuar,1,0.04,0.02,adj,1,10
gargara,6,0.26,0.1,ize,2,7
gargaraka,2,0.09,0.04,adb,1,9
gargaratu,1,0.04,0.02,adi,1,9
gargarburu,1,0.04,0.02,ize,1,10
gargola,16,0.7,0.23,ize,6,7
gari,779,34.29,1.55,adj,23,4
gariaro,1,0.04,0.02,ize,1,7
gariaundi,1,0.04,0.02,ize,1,9
garibaitar,2,0.09,0.04,adj,1,10
garibal,3,0.13,0.05,ize,1,7
garibaldiar,1,0.04,0.02,adj,1,11
garibalditar,2,0.09,0.04,adj,1,12
garigintza,1,0.04,0.02,ize,1,10
garigorri,1,0.04,0.02,ize,1,9
garijale,1,0.04,0.02,ize,1,8
garijole,1,0.04,0.02,ize,1,8
garijotze,4,0.18,0.07,ize,2,9
garikota,1,0.04,0.02,ize,1,8
garil,2,0.09,0.04,ize,2,5
garilakar,1,0.04,0.02,ize,1,9
garimotx,1,0.04,0.02,adj,1,8
garimpeiro,1,0.04,0.02,ize,1,10
garinagusi,1,0.04,0.02,adj,1,10
garindaintar,6,0.26,0.1,adj,4,12
garisoro,4,0.18,0.07,ize,4,8
garisorodun,1,0.04,0.02,adj,1,11
garisorta,2,0.09,0.04,ize,1,9
garita,21,0.92,0.28,ize,4,6
garitate,4,0.18,0.07,ize,1,8
garito,5,0.22,0.09,ize,3,6
garitsu,2,0.09,0.04,adj,2,7
garitza,2,0.09,0.04,ize,2,7
garizori,2,0.09,0.04,ize,1,8
garizoro,1,0.04,0.02,ize,1,8
garizuma,267,11.75,1.11,ize,15,8
garizuri,1,0.04,0.02,ize,1,8
garlinga,1,0.04,0.02,ize,1,8
garmetar,1,0.04,0.02,adj,1,8
garnata,2,0.09,0.04,ize,2,7
garnati,1,0.04,0.02,ize,1,7
garnaxa,2,0.09,0.04,ize,2,7
garniti,1,0.04,0.02,adj,1,7
garnitu,5,0.22,0.09,adi,4,7
garo,76,3.35,0.64,ize,5,4
garoil,3,0.13,0.05,ize,2,6
garoman,1,0.04,0.02,adb,1,7
garondo,197,8.67,0.99,ize,14,7
garondope,1,0.04,0.02,ize,1,9
garoto,3,0.13,0.05,ize,1,6
garrafoi,7,0.31,0.12,ize,4,8
garraiabide,1,0.04,0.02,ize,1,11
garraiadura,2,0.09,0.04,ize,1,11
garraiaerraz,1,0.04,0.02,adj,1,12
garraiagailu,2,0.09,0.04,ize,2,12
garraiagarri,1,0.04,0.02,adj,1,12
garraiaketa,2,0.09,0.04,ize,1,11
garraialdi,1,0.04,0.02,ize,1,10
garraiarazi,1,0.04,0.02,adi,1,11
garraiari,1,0.04,0.02,adj,1,9
garraiatu,671,29.53,1.48,adi,25,9
garraiatzaile,18,0.79,0.25,adj,9,13
garrail,2,0.09,0.04,ize,2,7
garraile,6,0.26,0.1,ize,3,8
garraintzi,1,0.04,0.02,ize,1,10
garraintzitsu,1,0.04,0.02,adj,1,13
garraio,1514,66.64,1.83,ize,28,7
garraioaldi,1,0.04,0.02,ize,1,11
garraiobide,77,3.39,0.64,ize,12,11
garraioburu,1,0.04,0.02,ize,1,11
garraiogailu,2,0.09,0.04,ize,2,12
garraiogintza,2,0.09,0.04,ize,2,13
garraiogunea,1,0.04,0.02,ize,1,12
garraiolari,168,7.39,0.92,ize,16,11
garraiomodu,1,0.04,0.02,ize,1,11
garraiontzi,3,0.13,0.05,ize,2,11
garraiotegi,1,0.04,0.02,ize,1,11
garraiotren,1,0.04,0.02,ize,1,11
garraiozale,1,0.04,0.02,adj,1,11
garraipen,2,0.09,0.04,ize,2,9
garraisi,16,0.7,0.23,ize,5,8
garraisibide,1,0.04,0.02,ize,1,12
garraisika,7,0.31,0.12,adb,1,10
garrait,2,0.09,0.04,ize,1,7
garraitaldi,3,0.13,0.05,ize,2,11
garraitu,58,2.55,0.55,adi,9,8
garraitzale,1,0.04,0.02,ize,1,11
garraixi,2,0.09,0.04,ize,2,8
garraldi,2,0.09,0.04,ize,1,8
garramatu,1,0.04,0.02,adi,1,9
garramia,1,0.04,0.02,ize,1,8
garramisto,2,0.09,0.04,ize,2,10
garramixto,1,0.04,0.02,ize,1,10
garramura,1,0.04,0.02,ize,1,9
garranga,4,0.18,0.07,ize,3,8
garrangatu,1,0.04,0.02,ize,1,10
garrantsitsu,6,0.26,0.1,adj,3,12
garrantsitzu,2,0.09,0.04,adj,1,12
garrantsizko,1,0.04,0.02,adj,1,12
garrantxitsu,1,0.04,0.02,adj,1,12
garrantz,1,0.04,0.02,ize,1,8
garrantzi,2352,103.52,2.02,ize,18,9
garrantzia,2238,98.51,2,ize,2,10
garrantzigabe,1,0.04,0.02,adj,1,13
garrantzigabeko,2,0.09,0.04,adj,2,15
garrantzisko,1,0.04,0.02,adj,1,12
garrantzisu,14,0.62,0.21,adj,6,11
garrantzitasun,3,0.13,0.05,ize,1,14
garrantzitsu,7232,318.32,2.5,adj,88,12
garrantzitzu,3,0.13,0.05,adj,3,12
garrantzizko,481,21.17,1.35,adj,26,12
garranzitsu,2,0.09,0.04,adj,2,11
garrapiña,1,0.04,0.02,ize,1,9
garrapiñatu,1,0.04,0.02,adi,1,11
garrasi,1167,51.37,1.72,ize,27,7
garrasika,429,18.88,1.3,adb,1,9
garrasilari,4,0.18,0.07,ize,4,11
garrasitu,3,0.13,0.05,adi,3,9
garrasizale,1,0.04,0.02,adj,1,11
garratoi,2,0.09,0.04,ize,1,8
garratoin,11,0.48,0.17,ize,5,9
garratx,2,0.09,0.04,ize,2,7
garratz,629,27.69,1.46,adj,39,7
garraxi,7,0.31,0.12,ize,3,7
garraxko,2,0.09,0.04,ize,1,8
garraxtu,1,0.04,0.02,ize,1,8
garrazi,1,0.04,0.02,ize,1,7
garrazkeria,2,0.09,0.04,ize,2,11
garrazki,30,1.32,0.37,adb,2,8
garraztasun,87,3.83,0.68,ize,11,11
garraztatu,1,0.04,0.02,adi,1,10
garraztu,62,2.73,0.57,adi,19,8
garreztatu,5,0.22,0.09,adi,4,10
garriko,1,0.04,0.02,ize,1,7
garrio,3,0.13,0.05,ize,3,6
garriolari,1,0.04,0.02,ize,1,10
garro,72,3.17,0.62,ize,7,5
garrota,20,0.88,0.27,ize,3,7
garrotatu,8,0.35,0.13,adi,6,9
garrote,32,1.41,0.38,ize,7,7
garruztar,6,0.26,0.1,adj,3,9
garta,2,0.09,0.04,ize,2,5
gartasun,1,0.04,0.02,ize,1,8
gartsu,167,7.35,0.92,adj,28,6
gartsuki,31,1.36,0.37,adb,1,8
gartsutasun,13,0.57,0.2,ize,7,11
gartu,7,0.31,0.12,adi,2,5
gartxu,2,0.09,0.04,adj,2,6
gartxutasun,2,0.09,0.04,ize,2,11
gartzaindar,2,0.09,0.04,adj,2,11
gartzela,65,2.86,0.59,ize,16,8
gartzelakide,2,0.09,0.04,ize,1,12
gartzelaldi,11,0.48,0.17,ize,5,11
gartzelaratu,3,0.13,0.05,adi,2,12
gartzelatu,2,0.09,0.04,adi,2,10
gartzelazain,2,0.09,0.04,ize,2,12
gartzerdi,1,0.04,0.02,ize,1,9
garun,870,38.29,1.59,ize,27,5
garunazal,2,0.09,0.04,ize,1,9
garundegi,1,0.04,0.02,ize,1,9
garungabetu,1,0.04,0.02,adi,1,11
garuntxo,1,0.04,0.02,ize,1,8
gas,1503,66.15,1.83,ize,28,3
gasadura,2,0.09,0.04,ize,2,8
gasagar,1,0.04,0.02,adj,1,7
gasaila,10,0.44,0.16,ize,5,7
gasailatu,1,0.04,0.02,adi,1,9
gasaki,3,0.13,0.05,ize,1,6
gasaldi,1,0.04,0.02,ize,1,7
gasatze,2,0.09,0.04,ize,2,7
gasbide,39,1.72,0.43,ize,7,7
gasdun,2,0.09,0.04,adj,2,6
gaseosa,13,0.57,0.2,ize,4,7
gaseoso,3,0.13,0.05,adj,2,7
gaseta,2,0.09,0.04,ize,1,6
gaseztatu,4,0.18,0.07,adi,3,9
gasifikatu,1,0.04,0.02,adi,1,10
gasifikatzaile,1,0.04,0.02,ize,1,14
gasifikazio,6,0.26,0.1,ize,2,11
gaskoi,102,4.49,0.74,adj,16,6
gaskoiera,9,0.4,0.15,ize,4,9
gaskoin,49,2.16,0.5,adj,10,7
gaskoinera,3,0.13,0.05,ize,1,10
gaskointasun,1,0.04,0.02,ize,1,12
gasna,549,24.16,1.4,ize,15,5
gasnaegile,1,0.04,0.02,ize,1,10
gasnagile,1,0.04,0.02,ize,1,9
gasnagintza,1,0.04,0.02,ize,1,11
gasnategi,30,1.32,0.37,ize,10,9
gasnatei,2,0.09,0.04,ize,2,8
gasnatu,10,0.44,0.16,adi,5,7
gasogeno,2,0.09,0.04,ize,2,8
gasoil,15,0.66,0.22,ize,7,6
gasoilki,9,0.4,0.15,ize,2,8
gasoleo,4,0.18,0.07,ize,3,7
gasolin,1,0.04,0.02,ize,1,7
gasolina,303,13.34,1.16,ize,14,8
gasolinazale,2,0.09,0.04,adj,1,12
gasolindegi,139,6.12,0.85,ize,21,11
gasolino,5,0.22,0.09,ize,5,8
gasolinontzi,1,0.04,0.02,ize,1,12
gasolio,189,8.32,0.97,ize,13,7
gasometro,3,0.13,0.05,ize,3,9
gasontzi,32,1.41,0.38,ize,7,8
gastadore,1,0.04,0.02,ize,1,9
gastaketa,2,0.09,0.04,ize,2,9
gastarazi,3,0.13,0.05,adi,2,9
gastatu,808,35.56,1.56,adi,40,7
gastatzaile,4,0.18,0.07,adj,2,11
gasteiztar,461,20.29,1.33,adj,18,10
gasteropodo,1,0.04,0.02,adj,1,11
gasto,3,0.13,0.05,ize,2,5
gastralgiko,1,0.04,0.02,adj,1,11
gastriko,4,0.18,0.07,adj,3,8
gastrinomia,1,0.04,0.02,ize,1,11
gastritis,7,0.31,0.12,ize,3,9
gastroenteritis,51,2.24,0.51,ize,7,15
gastroenterologia,3,0.13,0.05,ize,1,17
gastroentiritis,1,0.04,0.02,ize,1,15
gastroesofagiko,3,0.13,0.05,adj,2,15
gastronomia,81,3.57,0.66,ize,9,11
gastronomiazale,1,0.04,0.02,adj,1,15
gastronomiko,39,1.72,0.43,ize,10,12
gastronomo,6,0.26,0.1,ize,4,10
gastronomía,10,0.44,0.16,ize,1,11
gastroskopia,1,0.04,0.02,ize,1,12
gastrulazio,2,0.09,0.04,ize,1,11
gastu,1524,67.08,1.83,ize,37,5
gata,7,0.31,0.12,ize,1,4
gataska,76,3.35,0.64,ize,10,7
gatazka,5366,236.19,2.38,ize,33,7
gatazkadun,1,0.04,0.02,adj,1,10
gatazkagai,2,0.09,0.04,ize,2,10
gatazkagune,2,0.09,0.04,ize,1,11
gatazkaka,1,0.04,0.02,adb,1,9
gatazkalari,1,0.04,0.02,ize,1,11
gatazkaro,2,0.09,0.04,ize,1,9
gatazkati,25,1.1,0.32,adj,1,9
gatazkatsu,109,4.8,0.76,adj,15,10
gatazkatu,1,0.04,0.02,adi,1,9
gatazkatzaile,1,0.04,0.02,ize,1,13
gate,203,8.94,1,ize,12,4
gateme,1,0.04,0.02,ize,1,6
gatibatu,69,3.04,0.61,adi,13,8
gatibatzaile,2,0.09,0.04,ize,2,12
gatibotasun,1,0.04,0.02,ize,1,11
gatibu,536,23.59,1.39,adj,22,6
gatibualdi,18,0.79,0.25,ize,7,10
gatibutasun,14,0.62,0.21,ize,7,11
gatibutza,22,0.97,0.29,ize,9,9
gatigatu,1,0.04,0.02,adi,1,8
gatillo,1,0.04,0.02,ize,1,7
gatilu,5,0.22,0.09,ize,4,6
gatina,1,0.04,0.02,ize,1,6
gato,14,0.62,0.21,ize,3,4
gattelu,1,0.04,0.02,ize,1,7
gatu,89,3.92,0.69,ize,10,4
gatuarrain,1,0.04,0.02,ize,1,10
gatulili,1,0.04,0.02,ize,1,8
gatulu,1,0.04,0.02,ize,1,6
gatx,22,0.97,0.29,adj,6,4
gatxizen,1,0.04,0.02,ize,1,8
gatz,662,29.14,1.48,ize,20,4
gatzaga,20,0.88,0.27,ize,4,7
gatzagi,7,0.31,0.12,ize,4,7
gatzale,1,0.04,0.02,ize,1,7
gatzari,7,0.31,0.12,ize,2,7
gatzarri,1,0.04,0.02,ize,1,8
gatzatu,82,3.61,0.66,adi,18,7
gatzbako,3,0.13,0.05,adj,3,8
gatzdun,6,0.26,0.1,adj,3,7
gatzemaile,1,0.04,0.02,ize,1,10
gatzgabe,7,0.31,0.12,adj,5,8
gatzgabeko,1,0.04,0.02,adj,1,10
gatzgabetu,1,0.04,0.02,adi,1,10
gatzil,1,0.04,0.02,adj,1,6
gatzipe,1,0.04,0.02,ize,1,7
gatzitu,3,0.13,0.05,adi,2,7
gatzontzi,16,0.7,0.23,ize,5,9
gatzozpindu,1,0.04,0.02,adi,1,11
gatzu,5,0.22,0.09,ize,2,5
gatzun,4,0.18,0.07,ize,4,6
gau,13613,599.18,2.78,ize,72,3
gaualde,1,0.04,0.02,ize,1,7
gaualdi,306,13.47,1.16,ize,15,7
gauargi,24,1.06,0.31,ize,2,7
gauaro,2,0.09,0.04,ize,1,6
gauaz,377,16.59,1.25,ize,1,5
gaube,97,4.27,0.72,ize,4,5
gaubeila,38,1.67,0.43,ize,9,8
gaubeilatu,2,0.09,0.04,adi,2,10
gaubela,3,0.13,0.05,ize,3,7
gauberandu,1,0.04,0.02,ize,1,10
gaucho,21,0.92,0.28,ize,9,6
gauekotasun,3,0.13,0.05,ize,2,11
gauenara,1,0.04,0.02,ize,1,8
gauerdi,716,31.51,1.51,ize,20,7
gauerdionka,1,0.04,0.02,adb,1,11
gauerditsu,2,0.09,0.04,adj,2,10
gauero,485,21.35,1.35,adb,1,6
gaueroko,37,1.63,0.42,adj,4,8
gauerokotasun,1,0.04,0.02,ize,1,13
gaueskola,28,1.23,0.35,ize,9,9
gauez,1326,58.36,1.77,ize,1,5
gaugiro,16,0.7,0.23,ize,2,7
gaujai,1,0.04,0.02,ize,1,6
gaukide,1,0.04,0.02,ize,1,7
gaukotasun,1,0.04,0.02,ize,1,10
gaulan,1,0.04,0.02,ize,1,6
gaulista,1,0.04,0.02,adj,1,8
gaullismo,1,0.04,0.02,ize,1,9
gaullista,11,0.48,0.17,adj,4,9
gaumahai,13,0.57,0.2,ize,7,8
gaumahaitxo,4,0.18,0.07,ize,4,11
gaumin,5,0.22,0.09,ize,3,6
gauordu,1,0.04,0.02,ize,1,7
gaupasa,53,2.33,0.52,ize,7,7
gaupasazale,1,0.04,0.02,adj,1,11
gaupe,1,0.04,0.02,ize,1,5
gaur,22362,984.27,2.99,adb,5,4
gaurdaino,215,9.46,1.02,adb,1,9
gaurdainoko,16,0.7,0.23,adj,3,11
gaurdanik,74,3.26,0.63,adb,1,9
gauregun,1,0.04,0.02,adb,1,8
gaurgero,72,3.17,0.62,adb,1,8
gaurgeroz,1,0.04,0.02,adb,1,9
gaurgoiti,1,0.04,0.02,adb,1,9
gaurko,3979,175.14,2.25,adj,18,6
gaurkoan,286,12.59,1.13,adb,1,8
gaurkotasun,151,6.65,0.88,ize,15,11
gaurkotu,184,8.1,0.96,adi,25,8
gaurkotz,1,0.04,0.02,adb,1,8
gaurkoz,137,6.03,0.85,adb,1,7
gaurregun,23,1.01,0.3,adb,2,9
gaurtandik,1,0.04,0.02,adb,1,10
gaurtik,384,16.9,1.25,adb,1,7
gautar,23,1.01,0.3,adj,7,6
gautegun,1,0.04,0.02,adb,1,8
gautiar,10,0.44,0.16,adj,5,7
gautoki,1,0.04,0.02,ize,1,7
gautsu,3,0.13,0.05,adj,3,6
gautu,72,3.17,0.62,adi,10,5
gautximeleta,1,0.04,0.02,ize,1,12
gautxo,12,0.53,0.18,ize,5,6
gautxori,53,2.33,0.52,adj,10,8
gauza,33264,1464.12,3.17,ize,71,5
gauzabako,1,0.04,0.02,adj,1,9
gauzabanako,1,0.04,0.02,adj,1,11
gauzadi,19,0.84,0.26,ize,8,7
gauzaez,13,0.57,0.2,adj,6,7
gauzaezin,2,0.09,0.04,adj,2,9
gauzagarri,20,0.88,0.27,adj,4,10
gauzain,30,1.32,0.37,ize,7,7
gauzaintzaile,2,0.09,0.04,ize,2,13
gauzaketa,1,0.04,0.02,ize,1,9
gauzaki,63,2.77,0.58,ize,12,7
gauzakide,1,0.04,0.02,ize,1,9
gauzale,2,0.09,0.04,adj,2,7
gauzapen,15,0.66,0.22,ize,5,8
gauzarazi,1,0.04,0.02,adi,1,9
gauzatasun,3,0.13,0.05,ize,2,10
gauzatsu,1,0.04,0.02,adj,1,8
gauzatu,2818,124.03,2.1,adi,42,7
gauzatuezin,1,0.04,0.02,adj,1,11
gauzatzaile,8,0.35,0.13,ize,4,11
gauzeria,3,0.13,0.05,ize,2,8
gauzetaratu,1,0.04,0.02,adi,1,11
gauzeztandu,1,0.04,0.02,adi,1,11
gauzeztankeria,2,0.09,0.04,ize,1,14
gaxi,6,0.26,0.1,adj,4,4
gaxigarratx,1,0.04,0.02,adj,1,11
gaxo,5,0.22,0.09,adj,3,4
gaxtagin,3,0.13,0.05,ize,2,8
gaxtain,1,0.04,0.02,ize,1,7
gaxtakeria,5,0.22,0.09,ize,4,10
gaxtatu,2,0.09,0.04,adi,2,7
gaxte,52,2.29,0.52,adj,11,5
gaxto,10,0.44,0.16,ize,6,5
gaxu,5,0.22,0.09,ize,2,4
gay,282,12.41,1.13,adj,8,3
gaza,358,15.76,1.22,adj,9,4
gazagabeko,1,0.04,0.02,adj,1,10
gazaita,2,0.09,0.04,ize,2,7
gazajo,1,0.04,0.02,adj,1,6
gazaki,1,0.04,0.02,ize,1,6
gazamin,2,0.09,0.04,ize,1,7
gazatar,1,0.04,0.02,adj,1,7
gazatu,1,0.04,0.02,adi,1,6
gazbako,4,0.18,0.07,adj,3,7
gazbide,1,0.04,0.02,ize,1,7
gazda,1,0.04,0.02,ize,1,5
